Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
IVR,Invesco Mortgage Capital Inc,16.17,0.01,0.06%,16.24,16.08,607100,7/27/2018
JBSS,John B Sanfilippo,77.99,-0.1,-0.13%,78.29,77.52,28500,7/27/2018
JBT,John Bean Technologies Corp,114.75,-0.6,-0.52%,120.45,113.7,533400,7/27/2018
JCP,J.C. Penney Company Inc,2.39,-0.04,-1.65%,2.47,2.31,18320699,7/27/2018
JJSF,J J Snack Foods,153.39,-1.68,-1.08%,155.46,153.1,39200,7/27/2018
JRVR,James River Gp HD,40.57,-0.87,-2.10%,41.48,40.57,55300,7/27/2018
KALU,Kaiser Aluminum,110.9,-0.41,-0.37%,112.79,110.49,110400,7/27/2018
KAMN,Kaman Corp,66.4,-0.34,-0.51%,67.29,66,119300,7/27/2018
KELYA,Kelly Svcs Cl A,24.03,-0.3,-1.23%,24.44,23.7,72600,7/27/2018
KEM,Kemet Corp,26.79,-0.96,-3.46%,27.86,26.33,1678700,7/27/2018
KFY,Korn/Ferry International,66.48,-0.82,-1.22%,67.56,65.69,356700,7/27/2018
