Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
REI,Ring Energy Inc,12.52,-0.57,-4.35%,13.22,12.5,404500,7/27/2018
REX,Rex American Resources Corp,75.82,-0.53,-0.69%,76.92,75.12,42500,7/27/2018
RGEN,Repligen Cp,47.56,-1.26,-2.58%,49.01,47.46,238500,7/27/2018
RGNX,Regenxbio Inc,66.95,-1.95,-2.83%,69.6,64.55,589600,7/27/2018
RGR,Sturm Ruger & Company,54.25,-1.5,-2.69%,56.5,54.15,139200,7/27/2018
RGS,Regis Corp,17.44,-0.33,-1.86%,17.83,17.36,97900,7/27/2018
RH,Restoration Hardware Holdings,137.68,-1.78,-1.28%,142.8,136.17,449400,7/27/2018
RLI,Rli Corp,73.78,-0.94,-1.26%,75.01,73.29,222800,7/27/2018
RMAX,Re/Max Holdings Inc,50.6,-1.65,-3.16%,52.4,50.45,67700,7/27/2018
RMBS,Rambus Inc,13.39,-0.07,-0.52%,13.61,13.38,727300,7/27/2018
ROCK,Gibraltar Ind Inc,43.6,1.8,4.31%,44.1,41.75,528500,7/27/2018
ROG,Rogers Corp,121.88,-1.04,-0.85%,123.54,120.73,106500,7/27/2018
ROIC,Retail Opp Invts Cp,18.3,-0.45,-2.40%,18.93,18.29,1858400,7/27/2018
RPT,Ramco-Gershenson Properties Trust,12.84,-0.33,-2.51%,13.2,12.84,800000,7/27/2018
RRD,Donnelley [R.R.] & Sons Co,5.42,-0.06,-1.09%,5.5,5.33,657000,7/27/2018
RRGB,Red Robin Gourm,47.95,-0.9,-1.84%,49.65,47.8,184000,7/27/2018
RTEC,Rudolph Technologies,29.35,0.2,0.69%,29.7,28.95,143900,7/27/2018
RUTH,Ruth's Hospitality,29.5,-0.15,-0.51%,29.95,29.45,178600,7/27/2018
RYAM,Rayonier Advanced Materials Inc,17.28,-0.24,-1.37%,17.59,17.17,313800,7/27/2018
SAFT,Safety Ins Group Inc,89.6,-2.05,-2.24%,91.75,89.6,18900,7/27/2018
SAH,Sonic Automotive,18.45,0.5,2.79%,19.55,18.05,244200,7/27/2018
SAIA,Saia Inc,72.9,-1.45,-1.95%,75.03,72.6,307300,7/27/2018
SANM,Sanmina Corp,29.4,-0.8,-2.65%,30.4,29.4,393900,7/27/2018
SBCF,Seacoast Banking Cp,31.12,-1.85,-5.61%,32.42,30.88,618700,7/27/2018
SBSI,Southside Bancshares,35.02,-0.58,-1.63%,35.91,34.49,124900,7/27/2018
SCHL,Scholastic Cp,41.18,-0.38,-0.91%,41.77,41.18,98000,7/27/2018
SCL,Stepan Company,86.9,0.92,1.07%,87.41,85.97,93200,7/27/2018
SCSC,Scansource Inc,40.55,-1.15,-2.76%,41.7,40.4,39200,7/27/2018
SCVL,Shoe Carnival Inc,31.17,-0.48,-1.52%,31.92,30.86,232600,7/27/2018
SEDG,Solaredge Tech,53.95,-1,-1.82%,54.5,51.7,1094000,7/27/2018
SEM,Select Medical Holdings Corp,20.85,-0.75,-3.47%,21.65,20.7,456800,7/27/2018
SENEA,Seneca Foods Cp A,27.05,-0.7,-2.52%,28,27.05,7900,7/27/2018
SFBS,Servisfirst Bancs,42.01,0.09,0.21%,42.13,41.63,119800,7/27/2018
SFLY,Shutterfly Inc,84.79,-1.88,-2.17%,87.1,84.45,610500,7/27/2018
SFNC,Simmons First Natl,30,-0.15,-0.50%,30.3,29.8,314100,7/27/2018
SHAK,Shake Shack Inc,64.42,0.03,0.05%,65.99,63.54,677100,7/27/2018
SHLM,Schulman A Inc,43.6,-0.25,-0.57%,43.8,43.6,103700,7/27/2018
SHOO,Steven Maddens Ltd,53.55,-1.6,-2.90%,55.35,53.1,354800,7/27/2018
SIGI,Selective Ins Group,58.6,-1.1,-1.84%,60.3,58.6,165500,7/27/2018
SJI,South Jersey Industries,33.52,-0.28,-0.83%,33.94,33.23,374000,7/27/2018
SKYW,Skywest Inc,60.6,3.05,5.30%,62.45,58.5,568500,7/27/2018
SLCA,U.S. Silica Holdings Inc,26.74,1.03,4.01%,27,25.8,2620800,7/27/2018
SMCI,Super Micro Computer,22.2,-1,-4.31%,23.25,21.67,304000,7/27/2018
SMP,Standard Motor Products,45.86,0.76,1.69%,46.07,44.67,137200,7/27/2018
SMTC,Semtech Corp,48.75,-1.3,-2.60%,50.25,48.25,275000,7/27/2018
SNBR,Sleep Number Corporation,27.14,-2.19,-7.47%,29.22,26.22,1695400,7/27/2018
SONC,Sonic Cp,35.21,-0.85,-2.36%,36.42,35.11,397800,7/27/2018
SPOK,Spok Holdings Inc,14.75,-0.1,-0.67%,15.05,14.6,78500,7/27/2018
SPPI,Spectrum Pharma Inc,21.39,-0.53,-2.42%,22.06,21.15,1003400,7/27/2018
SPSC,Sps Commerce Inc,85.71,8.76,11.38%,89.9,83.24,585200,7/27/2018
SPTN,Spartannash Company,24.14,-0.87,-3.48%,24.95,24.04,145200,7/27/2018
SPXC,SPX Corp,36.49,-0.45,-1.22%,37.09,36.39,118300,7/27/2018
SR,Spire Inc,71.75,-0.75,-1.03%,72.7,71.45,197400,7/27/2018
SRCI,Src Energy Inc,11.02,-0.38,-3.33%,11.56,10.99,2300500,7/27/2018
SRDX,Surmodics Inc,59.3,-3.7,-5.87%,63.25,59.01,101000,7/27/2018
SSD,Simpson Manufacturing Company,60.06,-0.94,-1.54%,61.45,59.75,229500,7/27/2018
SSP,E.W. Scripps Company,12.6,-0.47,-3.60%,13.12,12.44,261400,7/27/2018
SSTK,Shutterstock Inc,47.39,-1.96,-3.97%,49.44,47.12,224700,7/27/2018
STBA,S&T Bancorp Inc,45.18,-0.49,-1.07%,45.77,45.05,52700,7/27/2018
STC,Stewart Information Services Corp,44.87,-0.32,-0.71%,45.46,44.73,68000,7/27/2018
STMP,Stamps.Com Inc,272.15,-7.25,-2.59%,281.35,270.15,161100,7/27/2018
STRA,Strayer Education,119.56,-1.3,-1.08%,121.3,119.18,69300,7/27/2018
SUP,Superior Industries International,17.2,0.1,0.58%,17.41,16.95,87600,7/27/2018
SUPN,Supernus Pharm,53.45,0.1,0.19%,54,53.05,475400,7/27/2018
SVU,Supervalu Inc,32.07,-0.1,-0.31%,32.16,32,6112700,7/27/2018
SWM,Schweitzer-Mauduit International,41.39,-0.76,-1.80%,42.06,41.24,93000,7/27/2018
SXC,Suncoke Energy Inc,11.89,-0.5,-4.04%,12.58,11.8,469100,7/27/2018
SXI,Standex International Corp,103.3,-2.45,-2.32%,106.2,103.15,23000,7/27/2018
SYKE,Sykes Enterprises,28.99,-0.92,-3.08%,30.06,28.95,112800,7/27/2018
TBI,Trueblue Inc,27.5,-0.45,-1.61%,28.25,27.35,170400,7/27/2018
TCMD,Tactile Systems Technology Inc,48.65,-4.16,-7.88%,53.01,47.55,332300,7/27/2018
TG,Tredegar Corp,25.55,-0.7,-2.67%,26.45,25.35,67400,7/27/2018
TGI,Triumph Group,19.85,-0.1,-0.50%,20.15,19.45,380700,7/27/2018
THRM,Gentherm Inc,44.05,-0.9,-2.00%,45.4,43.6,318900,7/27/2018
TILE,Interface Inc,22,-0.05,-0.23%,22.2,21.7,550600,7/27/2018
TISI,Team Inc,22.35,-0.4,-1.76%,22.8,22.25,180800,7/27/2018
TIVO,Tivo Corp,11.8,-0.45,-3.67%,12.35,11.75,753900,7/27/2018
TLRD,Tailored Brands Inc,20.56,-1.19,-5.47%,21.98,20.53,1829500,7/27/2018
TMP,Tompkinstrustco,87.23,-1.39,-1.57%,88.69,87.09,19000,7/27/2018
TMST,Timken Steel Corp,15.51,-2.92,-15.84%,17.5,15.09,1836300,7/27/2018
TNC,Tennant Company,83.45,0.75,0.91%,84,82.6,259300,7/27/2018
TPRE,Third Point Reinsurance Ltd Co,12.4,-0.2,-1.59%,12.68,12.3,637400,7/27/2018
TREX,Trex Company,64.69,-1.77,-2.66%,67.23,63.87,527900,7/27/2018
TRHC,Tabula Rasa Healthcare Inc,60.69,-4.19,-6.46%,65.22,60.14,269600,7/27/2018
TRST,Trustco Bank Corp NY,9.15,-0.1,-1.08%,9.4,9.1,345400,7/27/2018
TTEC,Teletech Hldgs,31.9,-2.05,-6.04%,34.05,31.85,48800,7/27/2018
TTEK,Tetra Tech Inc,60.3,-1.45,-2.35%,62.25,60.1,160000,7/27/2018
TTI,Tetra Technologies,4.14,-0.14,-3.27%,4.29,4.11,540500,7/27/2018
TTMI,TTM Technologies I,17.41,-0.44,-2.46%,17.91,17.33,405300,7/27/2018
TTS,Tile Shop Hldgs,8.15,-0.2,-2.40%,8.3,7.95,347800,7/27/2018
TVPT,Travelport Worldwide Ltd,18.98,-0.25,-1.30%,19.3,18.88,493500,7/27/2018
TVTY,Tivity Health,34.15,-0.3,-0.87%,34.59,33.8,311400,7/27/2018
TWI,Titan International,10.15,-0.18,-1.74%,10.46,10.01,224000,7/27/2018
TYPE,Monotype Imag. Hold.,21.2,1.1,5.47%,21.3,19.95,504800,7/27/2018
UBA,Urstadt Biddle Properties Inc,21.86,-0.69,-3.06%,22.61,21.74,76000,7/27/2018
UCBI,United Comm Banks,30.23,-0.2,-0.66%,30.58,29.93,546000,7/27/2018
UCTT,Ultra Clean Holdings,14.48,-0.37,-2.49%,15.42,14.3,2913000,7/27/2018
UEIC,Universal Elect In,35.25,-0.4,-1.12%,35.95,34.5,104800,7/27/2018
UFCS,United Fire Group I,60.54,-0.4,-0.66%,61.56,60.14,81100,7/27/2018
UFI,Unifi Inc,30.07,-0.81,-2.62%,31.09,29.9,47600,7/27/2018
UFPI,Universal Forest Prd,35.6,-0.91,-2.49%,36.7,35.58,315100,7/27/2018
UHT,Universal Health Realty Income Trust,65.02,-0.38,-0.58%,65.97,63.42,38300,7/27/2018
UIHC,United Insurance Hld,20.29,-0.23,-1.12%,20.74,20.01,55900,7/27/2018
UNF,Unifirst Corp,184.85,-4.15,-2.20%,188.6,184.35,28900,7/27/2018
UNT,Unit Corp,24.41,-0.73,-2.90%,25.27,24.33,355100,7/27/2018
USCR,U S Concrete Inc,51.4,0.6,1.18%,51.55,50.72,209100,7/27/2018
USPH,U.S. Physical Therapy,106,-0.8,-0.75%,107.15,104.4,33800,7/27/2018
UVE,Universal Insurance Holdings Inc,42.1,0.05,0.12%,42.65,40.2,367900,7/27/2018
UVV,Universal Corp,66,-0.05,-0.08%,66.3,65.25,140800,7/27/2018
VAC,Marriot Vacations Worldwide Cor,119.13,-3.08,-2.52%,122.26,118.66,292400,7/27/2018
VECO,Veeco Instrument,14.55,-0.35,-2.35%,15.35,14.5,481600,7/27/2018
VG,Vonage Holdings,12.88,-0.45,-3.38%,13.4,12.85,974800,7/27/2018
VIAV,Viavi Solutions,10.1,-0.23,-2.23%,10.34,10.05,1202900,7/27/2018
VICR,Vicor Cp,57.55,-2.95,-4.88%,60.7,57.05,289500,7/27/2018
VIVO,Meridian Bioscience,15.45,-0.35,-2.22%,15.9,15.4,186700,7/27/2018
VRA,Vera Bradley,12.99,-0.64,-4.70%,13.84,12.86,253100,7/27/2018
VREX,Varex Imaging Corp,37.6,-0.78,-2.03%,39.39,37.44,250700,7/27/2018
VRTS,Virtus Inv Prts,129.4,-0.25,-0.19%,134.1,124.6,71500,7/27/2018
VRTU,Virtusa Corp,53.22,-1.23,-2.26%,54.54,52.88,88700,7/27/2018
VRTV,Veritiv Corp,36.35,-0.85,-2.28%,37.45,36.05,29800,7/27/2018
VSI,Vitamin Shoppe Inc,7.85,0,unch,7.95,7.55,346300,7/27/2018
VSTO,Vista Outdoor Inc,15.75,-0.14,-0.88%,16.1,15.57,379500,7/27/2018
VVI,Viad Corp,57.45,1,1.77%,59.7,55.95,69100,7/27/2018
WABC,Westamerica Bancorp,60.22,-0.43,-0.71%,61.14,60,86900,7/27/2018
WAGE,Wageworks Inc,54.35,-0.05,-0.09%,54.7,53.75,178500,7/27/2018
WD,Walker & Dunlop,57.6,-2.16,-3.61%,60.67,57.56,327000,7/27/2018
WDFC,W D 40 Co,160,-1.8,-1.11%,162,159.55,50900,7/27/2018
WDR,Waddell & Reed Financial,18.9,-0.35,-1.82%,19.37,18.83,966200,7/27/2018
WETF,Wisdomtree Invstmnts,9.41,0.12,1.29%,9.56,9,1369400,7/27/2018
WGO,Winnebago Industries,38.3,-0.65,-1.67%,39.85,37.9,305700,7/27/2018
WING,Wingstop Inc,51.11,-0.15,-0.29%,52.12,50.86,470900,7/27/2018
WIRE,Encore Wire Cp,46.5,-0.5,-1.06%,47.1,46.05,55000,7/27/2018
WLH,William Lyon Homes,21.81,-0.57,-2.55%,22.6,21.52,301800,7/27/2018
WNC,Wabash National Corp,19.1,-0.2,-1.04%,19.48,19.07,241000,7/27/2018
WPG,Washington Prime Group Inc,7.58,-0.35,-4.41%,7.98,7.58,2166400,7/27/2018
WRLD,World Acceptance Cp,100.93,-3.01,-2.90%,108.79,100.54,122900,7/27/2018
WSR,Whitestone REIT,12.45,-0.35,-2.73%,12.84,12.42,230800,7/27/2018
WTS,Watts Water Technologies,83.75,-0.55,-0.65%,84.65,83.2,123500,7/27/2018
WWE,World Wrestling Entertainment,81.75,-2.09,-2.49%,85.93,79.35,2350500,7/27/2018
WWW,Wolverine World Wide,35.18,-1.56,-4.25%,37.02,35.17,697100,7/27/2018
XOXO,Xoxo Group Inc,32.21,-1.62,-4.79%,33.71,31.94,215000,7/27/2018
XPER,Xperi Corp,15.95,-0.3,-1.85%,16.5,15.8,314500,7/27/2018
ZEUS,Olympic Steel Inc,22.25,-0.29,-1.29%,22.63,22.02,56200,7/27/2018
